transaction_id,timestamp,user_id,receiver_id,amount,sender_bank,receiver_bank,device_id,device_type,city,state,transaction_type,merchant_category,transaction_status,is_fraud,fraud_scenario
T0000005,2026-01-01 00:12:21,U0807,R2160,750.6,Bank_C,Bank_D,D0807_1,Android,Pune,Maharashtra,P2M,Groceries,SUCCESS,0,none
T0000148,2026-01-01 06:56:27,U1837,R3447,72.71,Bank_D,Bank_A,NEW_33946,Android,Mumbai,Maharashtra,BillPay,Utilities,SUCCESS,0,none
T0000200,2026-01-01 08:48:16,U1731,R3618,744.79,Bank_D,Bank_C,NEW_46766,Android,Chennai,Tamil Nadu,Recharge,Other,SUCCESS,0,none
T0000263,2026-01-01 11:11:21,U1647,R2203,490.09,Bank_A,Bank_B,D1647_1,iOS,Bengaluru,Karnataka,P2P,Other,SUCCESS,0,none
T0000293,2026-01-01 12:41:00,U0965,R0217,741.3,Bank_A,Bank_B,D0965_1,iOS,Kolkata,West Bengal,Recharge,Utilities,SUCCESS,0,none
T0000315,2026-01-01 13:35:45,U0120,R1816,493.14,Bank_C,Bank_A,D0120_1,iOS,Jaipur,Rajasthan,P2P,Utilities,SUCCESS,0,none
T0000509,2026-01-01 20:23:06,U0301,R1999,6694.21,Bank_B,Bank_D,D0301_2,Android,Pune,Maharashtra,Recharge,Groceries,SUCCESS,0,none
T0000660,2026-01-02 03:30:35,U1765,R3552,153.48,Bank_A,Bank_D,D1765_1,Android,Kolkata,West Bengal,P2P,Travel,SUCCESS,0,none
T0000673,2026-01-02 03:53:29,U0406,R3196,2561.88,Bank_C,Bank_E,D0406_1,Android,Delhi,Delhi,P2M,Travel,SUCCESS,0,none
T0000709,2026-01-02 05:19:34,U0576,R1640,505.01,Bank_A,Bank_C,D0576_1,Android,Jaipur,Rajasthan,P2M,Shopping,SUCCESS,0,none
T0000726,2026-01-02 05:55:07,U1180,R0860,5864.25,Bank_A,Bank_B,D1180_1,Android,Hyderabad,Telangana,P2M,Shopping,FAILED,0,none
T0000822,2026-01-02 10:09:00,U1929,R5319,155.76,Bank_D,Bank_E,D1929_1,iOS,Chennai,Tamil Nadu,P2M,Groceries,SUCCESS,0,none
T0000880,2026-01-02 12:58:31,U1742,R0363,138.73,Bank_A,Bank_E,D1742_2,Android,Hyderabad,Telangana,BillPay,Shopping,SUCCESS,0,none
T0000986,2026-01-02 18:21:21,U1007,R4670,169.17,Bank_D,Bank_D,D1007_1,iOS,Hyderabad,Telangana,P2P,Shopping,SUCCESS,0,none
T0000999,2026-01-02 18:55:00,U1518,R0920,135.14,Bank_D,Bank_D,D1518_2,iOS,Mumbai,Maharashtra,P2P,Food,SUCCESS,0,none
T0001004,2026-01-02 19:03:03,U1503,R5804,958.71,Bank_C,Bank_E,D1503_1,Android,Delhi,Delhi,P2M,Other,SUCCESS,0,none
T0001031,2026-01-02 20:19:21,U1880,R5562,4671.08,Bank_E,Bank_D,D1880_2,Android,Mumbai,Maharashtra,P2P,Healthcare,SUCCESS,0,none
T0001119,2026-01-02 23:28:21,U0347,R2173,250.05,Bank_A,Bank_E,D0347_2,iOS,Chennai,Tamil Nadu,BillPay,Shopping,SUCCESS,0,none
T0001123,2026-01-02 23:32:02,U1158,R2051,125.38,Bank_B,Bank_B,D1158_1,iOS,Kolkata,West Bengal,BillPay,Food,SUCCESS,0,none
T0001165,2026-01-03 01:13:27,U0379,R3811,1232.52,Bank_B,Bank_E,D0379_1,iOS,Mumbai,Maharashtra,P2M,Utilities,FAILED,0,none
T0001389,2026-01-03 11:07:21,U0061,R2883,1315.15,Bank_D,Bank_B,D0061_1,iOS,Jaipur,Rajasthan,P2M,Utilities,SUCCESS,0,none
T0001391,2026-01-03 11:16:24,U0893,R2968,2768.99,Bank_A,Bank_A,D0893_1,Android,Jaipur,Rajasthan,P2P,Other,SUCCESS,0,none
T0001415,2026-01-03 12:03:56,U1441,R1659,390.37,Bank_B,Bank_A,D1441_1,Android,Mumbai,Maharashtra,P2P,Healthcare,SUCCESS,0,none
